Frequency (Hz),Measured accelerations under no-load (m/s2),Measured accelerations under on-load (m/s2)
0,0.074403014,0.059625274
1,0.148455735,0.115770171
2,0.11248528,0.076521856
3,0.056330732,0.02471188
4,0.033136136,0.007463774
5,0.023389926,0.010343161
6,0.015842053,0.011796336
7,0.014752795,0.008272194
8,0.016053845,0.004904342
9,0.012664689,0.002105076
10,0.007431204,0.008677894
11,0.024427569,0.009968085
12,0.033205607,0.009727846
13,0.039761789,0.005875328
14,0.039349312,9.30E-04
15,0.030459851,0.00195711
16,0.02318199,0.003090399
17,0.023209797,0.001662828
18,0.02438212,0.001020858
19,0.033851783,0.003208783
20,0.039788616,0.004183909
21,0.034419667,0.004261534
22,0.019431046,0.010864
23,0.016225426,0.050361805
24,0.045317765,0.076297968
25,0.05012508,0.080177547
26,0.050479065,0.079138926
27,0.030167081,0.051206326
28,0.005997387,0.014614156
29,0.020194375,0.011213402
30,0.023969213,0.010942971
31,0.018903098,0.011487245
32,0.021315514,0.008710637
33,0.024554066,0.006773075
34,0.019043314,0.005911001
35,0.020405635,0.002839745
36,0.025970716,0.001562486
37,0.02829983,0.003817452
38,0.028622848,0.007278685
39,0.029235518,0.009760411
40,0.02824575,0.013457041
41,0.02023308,0.011727621
42,0.01436417,0.01110767
43,0.018201797,0.011895926
44,0.020961486,0.01133431
45,0.020481474,0.0140311
46,0.022627481,0.013353356
47,0.027032379,0.022540456
48,0.121165999,0.053992393
49,0.184506664,0.076958084
50,0.183435866,0.076470016
51,0.168690697,0.071027094
52,0.097654995,0.046142038
53,0.009846315,0.010131255
54,0.026291196,0.006201257
55,0.022259773,0.006560235
56,0.012437474,0.006134483
57,0.006802072,0.005220293
58,0.008102348,0.004901216
59,0.012036804,0.002950305
60,0.015121091,0.005681125
61,0.020033231,0.006450296
62,0.030129662,0.006777403
63,0.031297023,0.005212741
64,0.028057305,0.006523197
65,0.022333411,0.004979789
66,0.015423564,0.002736068
67,0.01420159,0.003570563
68,0.011060696,0.005380782
69,0.009276782,0.004785884
70,0.011881402,0.006842778
71,0.0170168,0.012743005
72,0.016788944,0.017602188
73,0.040837212,0.033687007
74,0.075925035,0.04275873
75,0.091976589,0.043806863
76,0.099415364,0.045622698
77,0.082407303,0.035281467
78,0.044937057,0.021368173
79,0.016017089,0.016853031
80,5.91E-04,0.011276604
81,0.01266116,0.00251484
82,0.022779994,0.002683653
83,0.024308647,0.005959889
84,0.019188399,0.006342797
85,0.015262143,0.005826218
86,0.009699417,8.56E-04
87,0.004347637,0.007937176
88,0.006614615,0.01323997
89,0.008011658,0.016922562
90,0.012908179,0.015686179
91,0.01792419,0.013485948
92,0.016053574,0.01235057
93,0.009919402,0.014195551
94,0.00264489,0.01467875
95,0.009572759,0.016396173
96,0.017026023,0.016737928
97,0.025347406,0.017419301
98,0.075522102,0.029959915
99,0.11262147,0.039421584
100,0.113035942,0.037941206
101,0.104537956,0.035036759
102,0.054994874,0.024259735
103,0.010047555,0.009721446
104,0.029491289,0.001744649
105,0.019677034,0.00602892
106,0.005331895,0.01054998
107,0.014570502,0.009187711
108,0.027975269,0.005107558
109,0.030194679,0.001667734
110,0.021800674,0.005216851
111,0.0137287,0.002057842
112,0.008358807,3.58E-04
113,0.008698125,0.004181757
114,0.00912283,0.004893179
115,0.009308448,0.003949606
116,0.008260522,0.004125952
117,0.010248798,0.001394616
118,0.01320246,0.003180619
119,0.013085687,0.00708425
120,0.015451296,0.009582387
121,0.013540755,0.0116428
122,0.016223045,0.0367979
123,0.030817641,0.095931862
124,0.044127077,0.146218934
125,0.047797956,0.153184694
126,0.041566142,0.145459749
127,0.025905891,0.101944781
128,0.012785707,0.032366474
129,0.017196812,6.77E-04
130,0.020393536,0.004411239
131,0.01674961,0.003761526
132,0.012852408,0.002568065
133,0.011666828,0.001655134
134,0.01332991,0.002772474
135,0.020514741,0.002534645
136,0.026936471,0.002626503
137,0.025551381,0.001080437
138,0.017686915,0.004333743
139,0.007723564,0.007616815
140,0.005332334,0.01102869
141,0.002711019,0.007786087
142,0.003483987,0.010173483
143,0.007840156,0.012986372
144,0.009805696,0.016444325
145,0.012965874,0.013808997
146,0.028302501,0.009231252
147,0.121546424,0.039872409
